,Year,Month,State,Primary Mode,Etiology,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths
58,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,25,0.0,25.0,0.0,25.0
60,2009,2,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,30,0.0,30.0,0.0,30.0
64,2009,1,Maine,0,Norovirus Genogroup II,Confirmed,Hospital,11,0.0,0.0,0.0,0.0
65,2009,1,Arkansas,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,20,1.0,20.0,0.0,20.0
67,2009,1,Maine,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,121,0.0,0.0,0.0,0.0
68,2009,3,Ohio,0,Norovirus Genogroup II,Confirmed,Hospital,7,0.0,0.0,0.0,7.0
69,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,2.0,41.0,0.0,41.0
70,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,71,1.0,71.0,0.0,71.0
71,2009,2,Ohio,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,25,2.0,25.0,0.0,25.0
73,2009,2,New York,1,Norovirus unknown,Confirmed,Restaurant - other or unknown type; Caterer (food prepared off-site from where served),24,0.0,24.0,0.0,24.0
75,2009,2,Iowa,0,Norovirus unknown,Confirmed,School/college/university,38,0.0,38.0,0.0,38.0
76,2009,1,Ohio,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,103,2.0,88.0,2.0,101.0
78,2009,1,Tennessee,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,22,4.0,22.0,0.0,22.0
79,2009,1,Tennessee,1,Norovirus Genogroup I,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",6,0.0,6.0,0.0,6.0
81,2009,1,Florida,1,Norovirus Genogroup I,Confirmed,Restaurant - other or unknown type,24,0.0,24.0,0.0,24.0
82,2009,2,New York,1,Norovirus,Confirmed,Restaurant - Sit-down dining,51,1.0,51.0,0.0,51.0
86,2009,2,Florida,1,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,13,2.0,13.0,0.0,13.0
87,2009,1,Tennessee,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,12,3.0,12.0,0.0,12.0
88,2009,1,Tennessee,0,Shigella sonnei,Confirmed,Child day care,6,1.0,6.0,0.0,6.0
89,2009,2,Tennessee,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,7,2.0,7.0,0.0,7.0
90,2009,2,Tennessee,0,Norovirus Genogroup I,Confirmed,Restaurant,5,0.0,5.0,0.0,5.0
91,2009,2,Tennessee,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,84,0.0,84.0,0.0,84.0
92,2009,1,Ohio,0,Norovirus unknown,Confirmed,Hospital,18,0.0,0.0,0.0,18.0
93,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,84,0.0,25.0,0.0,25.0
94,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,25,0.0,6.0,0.0,6.0
95,2009,3,New York,1,Staphylococcus aureus,Confirmed,Private home/residence,20,0.0,20.0,0.0,20.0
96,2009,2,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,0.0,26.0,0.0,26.0
98,2009,2,Wyoming,0,Clostridium other; Norovirus Genogroup II,Suspected; Suspected,Long-term care/nursing home/assisted living facility,8,0.0,8.0,0.0,8.0
100,2009,2,Arkansas,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,36,0.0,36.0,0.0,36.0
101,2009,1,Wyoming,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,31,0.0,31.0,0.0,31.0
102,2009,2,Wyoming,0,Norovirus Genogroup II; Rotavirus,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,19,0.0,19.0,0.0,19.0
103,2009,3,Wyoming,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,15,0.0,15.0,0.0,15.0
107,2009,3,Wyoming,3,Unknown,Suspected,Hotel/Motel/Lodge/Inn,8,0.0,8.0,0.0,8.0
109,2009,1,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,46,1.0,46.0,0.0,46.0
110,2009,1,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,6,0.0,0.0,0.0,6.0
112,2009,1,Maine,0,Norovirus Genogroup II,Suspected,Hospital,17,2.0,17.0,0.0,17.0
113,2009,1,Maine,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,32,0.0,29.0,0.0,32.0
114,2009,1,Maine,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,25,0.0,0.0,0.0,25.0
116,2009,1,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,120,0.0,0.0,0.0,120.0
117,2009,1,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,16,0.0,0.0,0.0,16.0
118,2009,1,Maine,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,119,1.0,119.0,0.0,119.0
120,2009,1,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,76,0.0,76.0,0.0,76.0
122,2009,1,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,175,0.0,0.0,0.0,175.0
124,2009,2,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,13,0.0,0.0,0.0,0.0
126,2009,3,Illinois,1,Norovirus,Confirmed,Private home/residence; Caterer (food prepared off-site from where served); School/college/university,189,1.0,70.0,0.0,70.0
127,2009,3,Illinois,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining,6,0.0,6.0,0.0,6.0
128,2009,3,Illinois,1,Campylobacter jejuni; Listeria monocytogenes,Confirmed; Confirmed,Private home/residence,6,1.0,6.0,0.0,6.0
129,2009,3,Illinois,1,Norovirus Genogroup II,Confirmed,Restaurant - other or unknown type,27,0.0,27.0,0.0,27.0
130,2009,4,Illinois,1,Clostridium perfringens,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),24,0.0,24.0,0.0,24.0
131,2009,3,Illinois,1,Salmonella enterica,Confirmed,Grocery store,5,0.0,5.0,0.0,5.0
136,2009,2,Maine,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,69,0.0,69.0,0.0,69.0
137,2009,2,Maine,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,21,0.0,21.0,0.0,21.0
138,2009,2,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,62,0.0,62.0,0.0,62.0
141,2009,1,Wisconsin,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,16,0.0,16.0,0.0,16.0
142,2009,2,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,54,0.0,54.0,0.0,54.0
147,2009,1,Wisconsin,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,5,0.0,5.0,0.0,5.0
149,2009,2,Maine,0,Rotavirus,Suspected,Long-term care/nursing home/assisted living facility,29,0.0,29.0,0.0,29.0
151,2009,1,Maine,0,Norovirus Genogroup II,Confirmed,Hospital,99,43.0,99.0,0.0,99.0
152,2009,2,Wisconsin,1,Clostridium perfringens,Confirmed,Restaurant - Sit-down dining,90,0.0,90.0,0.0,90.0
153,2009,2,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,65,0.0,65.0,0.0,65.0
154,2009,2,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,43,0.0,43.0,0.0,43.0
155,2009,3,Maine,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,28,0.0,28.0,0.0,28.0
156,2009,2,Maine,0,Norovirus unknown,Suspected,School/college/university,31,0.0,31.0,0.0,31.0
158,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,School/college/university,57,0.0,57.0,0.0,57.0
160,2009,1,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,58,0.0,58.0,0.0,58.0
161,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,28,0.0,28.0,0.0,28.0
162,2009,1,Michigan,0,Norovirus Genogroup II,Confirmed,Hospital,16,0.0,0.0,0.0,0.0
165,2009,1,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,25,4.0,25.0,0.0,25.0
167,2009,1,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,10,0.0,10.0,0.0,10.0
170,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,45,0.0,45.0,1.0,45.0
173,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,54,0.0,54.0,0.0,54.0
175,2009,1,Wisconsin,0,Norovirus Genogroup I,Confirmed,Long-term care/nursing home/assisted living facility,65,0.0,65.0,0.0,65.0
176,2009,1,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,1.0,24.0,0.0,24.0
177,2009,3,Ohio,1,Norovirus Genogroup II,Confirmed,Banquet Facility (food prepared and served on-site),20,0.0,19.0,0.0,20.0
178,2009,1,Wisconsin,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,21,1.0,21.0,0.0,21.0
179,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,61,0.0,61.0,0.0,61.0
180,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,30,1.0,30.0,0.0,30.0
181,2009,1,Wisconsin,0,Sapovirus,Confirmed,Long-term care/nursing home/assisted living facility,30,0.0,30.0,0.0,30.0
182,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,24,0.0,24.0,0.0,24.0
183,2009,1,Wisconsin,0,Norovirus Genogroup I,Suspected,Long-term care/nursing home/assisted living facility,43,0.0,43.0,0.0,43.0
184,2009,1,Wisconsin,0,Rotavirus,Confirmed,Long-term care/nursing home/assisted living facility,33,0.0,33.0,0.0,33.0
185,2009,1,Wisconsin,0,Norovirus Genogroup I,Confirmed,Long-term care/nursing home/assisted living facility,63,0.0,63.0,0.0,63.0
186,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,42,0.0,42.0,0.0,42.0
187,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,25,0.0,25.0,0.0,25.0
188,2009,1,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,37,2.0,37.0,2.0,37.0
190,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,62,0.0,62.0,0.0,62.0
191,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,24,2.0,24.0,0.0,24.0
192,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Other healthcare facility,63,0.0,63.0,1.0,63.0
193,2009,3,Arkansas,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,46,5.0,46.0,1.0,46.0
194,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,39,0.0,39.0,0.0,39.0
196,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,20,0.0,20.0,0.0,20.0
197,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,15,0.0,15.0,0.0,15.0
198,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,48,1.0,48.0,0.0,48.0
199,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,62,0.0,62.0,0.0,62.0
200,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,16,0.0,16.0,0.0,16.0
201,2009,1,Michigan,0,Norovirus Genogroup II,Confirmed,School/college/university,25,0.0,0.0,0.0,0.0
202,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,59,0.0,59.0,0.0,59.0
204,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,58,0.0,58.0,0.0,58.0
206,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,54,1.0,54.0,0.0,54.0
207,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,50,0.0,50.0,1.0,50.0
208,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,95,2.0,95.0,1.0,95.0
210,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,43,5.0,43.0,0.0,43.0
212,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,142,1.0,142.0,0.0,142.0
214,2009,1,Michigan,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,40,0.0,0.0,0.0,0.0
215,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,6,0.0,6.0,0.0,6.0
218,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,114,0.0,114.0,0.0,114.0
219,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,64,0.0,64.0,0.0,64.0
220,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,46,0.0,46.0,0.0,46.0
221,2009,1,Ohio,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,11,0.0,11.0,0.0,11.0
223,2009,2,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,61,0.0,61.0,0.0,61.0
224,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Other healthcare facility,35,0.0,35.0,0.0,35.0
228,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Other healthcare facility,34,1.0,34.0,0.0,34.0
232,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,41,0.0,41.0,0.0,41.0
233,2009,1,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,27,0.0,27.0,0.0,27.0
236,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,56,9.0,56.0,0.0,56.0
237,2009,1,Michigan,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,22,0.0,0.0,0.0,0.0
240,2009,3,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,13,1.0,13.0,0.0,13.0
242,2009,1,Pennsylvania,0,Norovirus,Suspected,"Other, specify",37,0.0,37.0,0.0,37.0
245,2009,1,Michigan,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,35,0.0,0.0,0.0,0.0
248,2009,1,Pennsylvania,0,Norovirus,Suspected,Long-term care/nursing home/assisted living facility,45,3.0,45.0,0.0,45.0
250,2009,1,Michigan,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,50,0.0,0.0,0.0,0.0
253,2009,2,Arkansas,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,47,1.0,47.0,0.0,47.0
254,2009,3,Ohio,0,Norovirus Genogroup II,Confirmed,Hospital,18,0.0,18.0,0.0,18.0
255,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,40,0.0,40.0,0.0,40.0
256,2009,2,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,28,1.0,28.0,0.0,28.0
257,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,19,0.0,19.0,0.0,19.0
258,2009,1,New Hampshire,1,Norovirus Genogroup II,Suspected,Office/indoor workplace,11,0.0,11.0,0.0,11.0
259,2009,3,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,18,0.0,18.0,0.0,18.0
261,2009,1,Maine,0,Norovirus Genogroup II,Suspected,Long-term care/nursing home/assisted living facility,52,0.0,52.0,0.0,52.0
262,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,31,2.0,31.0,0.0,31.0
263,2009,3,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,41,0.0,41.0,0.0,41.0
264,2009,2,Wisconsin,0,Norovirus unknown,Suspected,Long-term care/nursing home/assisted living facility,47,0.0,47.0,0.0,47.0
265,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,7,0.0,7.0,0.0,7.0
266,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,30,2.0,30.0,1.0,30.0
267,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,32,2.0,32.0,0.0,32.0
268,2009,3,Wisconsin,0,Norovirus Genogroup II,Confirmed,Restaurant,6,0.0,6.0,0.0,6.0
269,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,7,1.0,7.0,0.0,7.0
270,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,71,1.0,71.0,0.0,71.0
271,2009,1,Wisconsin,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,51,0.0,51.0,0.0,51.0
272,2009,3,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,41,3.0,41.0,0.0,41.0
273,2009,3,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,42,0.0,42.0,0.0,42.0
274,2009,1,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,41,2.0,41.0,0.0,41.0
275,2009,3,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,56,3.0,56.0,0.0,56.0
276,2009,1,Missouri,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,91,4.0,91.0,0.0,91.0
278,2009,1,Missouri,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,32,2.0,32.0,2.0,32.0
279,2009,2,Maine,0,Norovirus Genogroup II,Confirmed,Hospital,19,12.0,19.0,0.0,19.0
280,2009,2,Maine,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,15,0.0,15.0,0.0,15.0
282,2009,1,Maine,0,Norovirus unknown,Confirmed,Hospital,48,22.0,48.0,0.0,48.0
284,2009,2,Maine,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,0.0,24.0,0.0,24.0
291,2009,3,Missouri,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,10,0.0,10.0,0.0,10.0
292,2009,3,Idaho,1,Clostridium perfringens,Confirmed,Private home/residence,8,0.0,8.0,0.0,8.0
293,2009,4,Minnesota,1,Norovirus,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",15,0.0,15.0,0.0,15.0
323,2009,2,Michigan,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,13,0.0,0.0,0.0,0.0
325,2009,2,Michigan,0,Norovirus Genogroup II,Confirmed,School/college/university,22,0.0,0.0,0.0,0.0
335,2009,3,Michigan,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,21,0.0,0.0,0.0,0.0
336,2009,3,Pennsylvania,0,Norovirus,Suspected,Private home/residence,22,0.0,22.0,0.0,22.0
337,2009,3,Wisconsin,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,23,0.0,23.0,0.0,23.0
338,2009,3,Ohio,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,36,3.0,36.0,0.0,36.0
345,2009,3,Michigan,1,Norovirus Genogroup II,Confirmed,Restaurant - other or unknown type; Banquet Facility (food prepared and served on-site),131,2.0,131.0,0.0,131.0
347,2009,3,Michigan,0,Norovirus Genogroup II,Confirmed,Event space,27,0.0,0.0,0.0,0.0
349,2009,3,Michigan,0,Norovirus Genogroup II,Confirmed,Prison/jail,28,0.0,0.0,0.0,0.0
354,2009,4,Michigan,0,Norovirus Genogroup II,Confirmed,School/college/university,93,0.0,0.0,0.0,0.0
355,2009,4,Michigan,0,Norovirus Genogroup II,Confirmed,Prison/jail,21,0.0,0.0,0.0,0.0
359,2009,1,Pennsylvania,0,Norovirus unknown,Confirmed,Long-term care/nursing home/assisted living facility,113,0.0,113.0,0.0,113.0
360,2009,2,Ohio,1,Norovirus Genogroup I,Confirmed,Caterer (food prepared off-site from where served),70,1.0,48.0,0.0,70.0
361,2009,1,Connecticut,1,Norovirus Genogroup II,Confirmed,Restaurant - Sit-down dining,21,0.0,21.0,0.0,21.0
362,2009,1,Connecticut,1,Salmonella enterica,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),7,2.0,7.0,0.0,7.0
363,2009,2,Connecticut,1,Salmonella enterica,Confirmed,"Restaurant - other or unknown type; Private home/residence; Fair, festival, other temp or mobile services",4,1.0,4.0,0.0,4.0
366,2009,2,Wisconsin,0,Norovirus Genogroup II,Confirmed,Long-term care/nursing home/assisted living facility,68,0.0,68.0,0.0,68.0
367,2009,1,Ohio,0,Norovirus Genogroup II,Confirmed,Restaurant,13,1.0,13.0,0.0,13.0
370,2009,4,Minnesota,1,Norovirus,Confirmed,Restaurant - Sit-down dining,10,0.0,10.0,0.0,10.0
